id,cardMessageMasterId,cardTypeNo,cardTypeName,cardid,cardName,type,messageId,messageEventId,eventTypeId,eventType,title,selectType,result,result1,result2,result3,result4,result5,result6,result7,result8,result9,result10
1,1,1,スピード,1,サイレンススズカSSR,1,1,1,1,連続イベント,手紙→？,選択肢なし,,スピード+10,,,,,,,,,
2,2,1,スピード,1,サイレンススズカSSR,1,2,1,1,連続イベント,手紙→皆の気持ち→？,選択肢なし,,スピード+10,パワー+10,,,,,,,,
3,3,1,スピード,1,サイレンススズカSSR,1,3,1,1,連続イベント,手紙→皆の気持ち→ちゃんと待っててね,選択肢なし,,スピード+10,『逃亡者』のヒントLv+1,,,,,,,,
4,4,1,スピード,1,サイレンススズカSSR,1,4,1,2,通常イベント,どこまでも,構わないよ,,スピード+10,スタミナ+5,サイレンススズカの絆ゲージ+5,,,,,,,
5,5,1,スピード,1,サイレンススズカSSR,1,4,2,2,通常イベント,どこまでも,全力で走ってみて,,スピード+15,サイレンススズカの絆ゲージ+5,,,,,,,,
6,6,1,スピード,1,サイレンススズカSSR,1,5,1,2,通常イベント,どうすれば,一緒に併走してあげるのは？,,スピード+5,スタミナ+5,賢さ+5,サイレンススズカの絆ゲージ+5,,,,,,
7,7,1,スピード,1,サイレンススズカSSR,1,5,2,2,通常イベント,どうすれば,その左回りにコツが隠されてるのかも,,『左回り◯』のヒントLv+1,サイレンススズカの絆ゲージ+5,,,,,,,,
8,8,1,スピード,2,トウカイテイオー(SSRサポート),1,1,1,1,連続イベント,幕開けの予感,選択肢なし,,体力+10,スピード+5,,,,,,,,
9,9,1,スピード,2,トウカイテイオー(SSRサポート),1,2,1,1,連続イベント,一時の幕間,選択肢なし,,体力+10,スピード+5,賢さ+5,,,,,,,
10,10,1,スピード,2,トウカイテイオー(SSRサポート),1,3,1,1,連続イベント,伝説のひと幕,選択肢なし,,体力+10,スピード+5,『一陣の風』のヒントLv+1,トウカイテイオーの絆ゲージ+5,,,,,,
