id,carSkillMasterId,typeNo,typeName,cardId,cardName,sortNum,eventType,eventTypeName,skillName,skillContents
1,1,1,スピード,1,サイレンススズカSSR,1,1,育成イベント,逃亡者,最終コーナーで先頭をキープしやすくなる＜作戦・逃げ＞
2,2,1,スピード,1,サイレンススズカSSR,2,1,育成イベント,左回り◯,左回りコースが少し得意になる
3,3,1,スピード,1,サイレンススズカSSR,3,1,育成イベント,左回り◯のアイコンノーマル,
4,4,1,スピード,1,サイレンススズカSSR,4,2,所持スキル,急ぎ足,レース中盤でわずかに前に行きやすくなる＜作戦・逃げ＞
5,5,1,スピード,1,サイレンススズカSSR,5,2,所持スキル,逃げ直線◯,直線で速度がわずかに上がる＜作戦・逃げ＞
6,6,1,スピード,1,サイレンススズカSSR,6,2,所持スキル,逃げコーナー◯,コーナーで速度がわずかに上がる＜作戦・逃げ＞
7,7,1,スピード,1,サイレンススズカSSR,7,2,所持スキル,先頭プライド,レース序盤にわずかに追い抜かれにくくなる＜作戦・逃げ＞
8,8,1,スピード,1,サイレンススズカSSR,8,2,所持スキル,先駆け,レース序盤でわずかに前に行きやすくなる＜作戦・逃げ＞
9,9,1,スピード,1,サイレンススズカSSR,9,2,所持スキル,押し切り準備,最終コーナーで先頭をわずかにキープしやすくなる＜作戦・逃げ＞
10,10,1,スピード,1,サイレンススズカSSR,10,2,所持スキル,集中力,スタートが得意になり出遅れる時間がわずかに少なくなる
11,11,1,スピード,1,サイレンススズカSSR,11,2,所持スキル,前途洋々,レース中盤に先頭だとわずかに疲れにくくなる＜中距離＞
12,12,1,スピード,1,サイレンススズカSSR,12,2,所持スキル,逃げのコツ◯,良い位置に少しつきやすくなる＜作戦・逃げ＞
13,13,1,スピード,2,トウカイテイオー(SSRサポート),1,1,育成イベント,慧眼,レース序盤に後ろの方だと疲れにくくなる＜マイル＞
14,14,1,スピード,2,トウカイテイオー(SSRサポート),2,1,育成イベント,小休憩,レース終盤に持久力がわずかに回復する＜作戦・差し＞
15,15,1,スピード,2,トウカイテイオー(SSRサポート),3,2,所持スキル,アクセラレーション,レース中盤に追い抜くと加速力がわずかに上がる＜マイル＞
16,16,1,スピード,2,トウカイテイオー(SSRサポート),4,2,所持スキル,展開窺い,レース序盤に後ろの方だとわずかに疲れにくくなる＜マイル＞
17,17,1,スピード,2,トウカイテイオー(SSRサポート),5,2,所持スキル,札幌レース場◯,札幌レース場が少し得意になる
18,18,1,スピード,3,ゴールドシチー(SSRサポート),1,1,育成イベント,一陣の風,直線で加速力が上がる
19,19,1,スピード,3,ゴールドシチー(SSRサポート),2,1,育成イベント,先行直線◯,直線で速度がわずかに上がる＜作戦・先行＞
20,20,1,スピード,3,ゴールドシチー(SSRサポート),3,2,所持スキル,巧みなステップ,コース取りがわずかにスムーズになる＜作戦・先行＞
21,21,1,スピード,3,ゴールドシチー(SSRサポート),4,2,所持スキル,垂れウマ回避,ラストスパートで前が塞がれた時の立ち回りがわずかにうまくなる
22,22,1,スピード,3,ゴールドシチー(SSRサポート),5,2,所持スキル,ポジションセンス,レース序盤にコース取りが少しうまくなる
23,23,1,スピード,3,ゴールドシチー(SSRサポート),6,2,所持スキル,臨機応変,レース終盤にコース取りが少しうまくなる
