id,genreNo,genreName,skillName,hurigana,champEvaluation,teamEvaluation,type,anotherSkill,effect,EvaluationSentence,needPint,evaluationPoint,evaluationEfficiency
1,1,通常スキル,アオハル点火・根,あおはるてんかこん,2,1,ノーマル,アオハル燃焼・根,レース終盤にアオハル魂が燃えレース中チームメンバーの根性合計が高いほど脚にちょっと力強さが宿る,終盤で速度を上げるスキル。根性は合計値を上げにくいため効果量を増やしづらいのが難点。取得に必要なPtが非常に高いためチーム競技場には不向き。,200,263,1.32
2,1,通常スキル,アオハル点火・速,あおはるてんかそく,4,2,ノーマル,アオハル燃焼・速,レース中盤にアオハル魂が燃えレース中のチームメンバーのスピード合計が高いほど速度がわずかに上がる,中盤から前に出たい逃げ/先行と特に相性が良く、スピードは高くなりやすいので効果量も増やしやすい。取得に必要なPtが非常に高いためチーム競技場には不向き。,200,263,1.32
3,1,通常スキル,遊びはおしまいっ！,あそびはおしまい,2,3,ノーマル,,すぐ後ろにウマ娘が長くいると速度がわずかに上がる,汎用的なスキルだが、最後尾を走る可能性がある追込とはやや相性が悪い。,160,217,1.36
4,1,通常スキル,あやしげな作戦,あやしげなさくせん,1,2,ノーマル,博打うち,レース後半に速度が少し上がるがすごく疲れてしまうことがある,レース後半のランダムな地点で発動する。発動しやすく必要なPtも低いため競技場に向いているが、確率でスタミナを減少する場合がある。スタミナに余裕がない場合は非推奨。,120,129,1.08
5,1,通常スキル,ありったけ,ありったけ,4,3,ノーマル,決死の覚悟,ラストスパートの直線で好位置にいると速度がわずかに上がる＜中距離＞,発動条件は逃げ以外と相性が良い。発動タイミングがラストスパートの直線に限定されているため、速度上昇効果が無駄になりにくい点が優秀。,160,239,1.36
6,1,通常スキル,急ぎ足,いそぎあし,4,4,ノーマル, 脱出術,レース中盤でわずかに前に行きやすくなる＜作戦・逃げ＞,速度を上げる効果。発動しやすく、逃げの先頭争いに役立つ優秀な速度スキル。,180,239,1.21
7,1,通常スキル,位置取り押し上げ,いちとりあげ,3,3,ノーマル,迅速果断,レース中盤で速度がわずかに上がる＜作戦・差し＞,中盤の好位置取りに役立つが、終盤で後方が発動条件となっているスキルの発動率が下がる可能性がある,180,239,1.21
8,1,通常スキル,内弁慶,うちべんけい,4,4,ノーマル,内的体験,最終コーナーで内ラチ側にいると速度がわずかに上がる＜長距離＞,長距離では最終コーナーでの速度アップはタイミングが良くなることが多い。コースの内側にいる必要があるが、どの作戦でも比較的発動しやすい。,160,239,1.36
9,1,通常スキル,ウマ好み,うまごのみ,3,3,ノーマル,ウママニア, 近くにウマ娘がたくさんいると速度がわずかに上がる,発動率は同じ作戦のウマ娘の人数に左右される。速度スキルの中では必要Ptが低めな点が優秀。,160,217,1.36
10,1,通常スキル,追い上げ,おいあげ,4,4,ノーマル,怒涛の追い上げ,終盤で順位を上げていく後ろの作戦ほど相性が良い。発動率、タイミングともに優秀な速度スキル。, レース終盤で追い抜くと速度がわずかに上がる＜長距離＞,160,239,1.36
11,1,通常スキル,追込コーナー◎,おいこみこーなーにじゅうまる,5,2,ノーマル,追込コーナー◯,コーナーで速度がわずかに上がる＜作戦・追込＞,取得に必要なPtが低くどの距離でも使える。追込で育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
12,1,通常スキル,追込コーナー◯,おいこみこーなーまる,5,5,ノーマル,追込コーナー◎, コーナーで速度がわずかに上がる＜作戦・追込＞,取得に必要なPtが低くどの距離でも使える。追込で育成する場合の優先度は高い。,130,239,1.67
