id,type,main,genreId2,genre2,genreId3,genre3,select,result
1,1,メインシナリオ、共通イベント,1,メインシナリオ,1,愉快ッ！密着取材！,選択肢無し,●尊敬すべき理事長です⇒スタミナ＋１０、乙名史 絆＋５
2,1,メインシナリオ、共通イベント,2,メインシナリオ,2,愉快ッ！密着取材！,選択肢無し,●暴走することが多いような⇒根性＋１０、乙名史 絆＋５
3,1,メインシナリオ、共通イベント,3,メインシナリオ,1,トレーナー並の知識,力強さが課題なんですが ,パワー＋１０
4,1,メインシナリオ、共通イベント,4,メインシナリオ,2,トレーナー並の知識,スピードが課題なんですが ,スピード＋１０
5,1,メインシナリオ、共通イベント,5,メインシナリオ,1,上々の面構えッ！,では、新しい練習用具をいただけますか？,体力－１０，パワー＋２０、根性＋２０、ハヤテ一文字
6,1,メインシナリオ、共通イベント,6,メインシナリオ,2,上々の面構えッ！,では、にんじんを分けていただけますか？,体力＋３０，スタミナ＋２０、好転一息
7,2,共通イベント,1,,1,あんし～ん笹針師、参☆上,強いウマ娘になれる秘孔を狙う,ALL＋２０（失敗：やる気↓、ALL－１５、状態異常）
8,2,共通イベント,2,,2,あんし～ん笹針師、参☆上,レースで勝てる秘孔を狙う,スキルを２個（失敗：体力－２０、やる気↓）
9,2,共通イベント,3,,3,あんし～ん笹針師、参☆上,元気で健康になれる秘孔を狙う,体力＋４０、体力最大値＋１２、（失敗：体力－２０、やる気↓、練習ベタ）
10,2,共通イベント,4,,4,あんし～ん笹針師、参☆上,魅力アップの秘孔を狙う,体力＋２０、やる気↑、愛嬌〇（失敗：体力－２０、やる気↓、練習ベタ）
11,2,共通イベント,5,,5,あんし～ん笹針師、参☆上,不安なのでやめておく,体力＋１０
12,3,追加の自主トレ,1,キャラクターによって選択肢のセリフは異なるが内容は下記の通り,1,,自主トレをする,体力－５、選択したトレーニングの効果＋５、秋川絆＋５
13,3,追加の自主トレ,1,キャラクターによって選択肢のセリフは異なるが内容は下記の通り,1,,自主トレをしない,体力＋５
14,4,レース勝利！,1,,1,,,上と下、どちらの選択肢を選んでも「体力の減少、パラメータ上昇（項目はランダム）、スキルPt獲得」が発生
15,4,レース勝利！,2,,1,,,体力については選択肢上だと－１５確定、選択肢下だとー５～－２０くらいの幅でランダムに減少
16,4,レース勝利！,3,,1,,,パラメータとスキルPtは出走したレースのグレード（G1だと高い）とサポートカードの補正によって変化
17,5,レース入着,1,,1,,,上と下、どちらの選択肢を選んでも「体力の減少、パラメータ上昇（項目はランダム）、スキルPt獲得」が発生
18,5,レース入着,2,,1,,,体力については選択肢上だと－２０確定、選択肢下だとー５～－３０くらいの幅でランダムに減少
19,5,レース入着,3,,1,,,パラメータとスキルPtは出走したレースのグレード（G1だと高い）とサポートカードの補正によって変化する
20,6,レース敗北,1,,1,,,上と下、どちらの選択肢を選んでも「体力の減少、パラメータ上昇（項目はランダム）、スキルPt獲得」が発生
21,6,レース敗北,2,,1,,,体力については選択肢上だと－２５確定、選択肢下だとー５～－３５くらいの幅でランダム
22,6,レース敗北,3,,1,,,パラメータとスキルPtは出走したレースのグレード（G1だと高い）とサポートカードの補正によって変化する
23,7,お大事に,4,,1,,,やる気↓、選択したトレーニング－５
24,7,お大事に,5,,1,,,やる気↓、選択したトレーニング－１０、（練習上手 or 練習ベタ）
25,8,乙名史記者の徹底取材,1,,1,,現状を真摯に受け止めます , 体力－１５～２０、やる気↓、３０前後
26,8,乙名史記者の徹底取材,2,,1,,このまま突き進みます！！ , 体力－２０、ランダム＋４前後、スキルPt＋３０前後、乙名史記者の絆ゲージ＋１０
27,1,バレンタイン,1,,1,,選択肢無し,ファン数が60,000以上で固有スキルLv↑（ハルウララ、スマートファルコンは40,000以上）
28,10,ファン感謝祭,1,,1,,選択肢無し,ファン数が70,000以上かつ理事長の絆ゲージが緑以上で固有スキルLv↑（ハルウララ、スマートファルコンは60,000以上）
29,10,ファン感謝祭,2,,1,,選択肢無し,（上記条件に未達の場合）体力－５，スキルｐｔ＋２０
30,11,クリスマス,1,,1,,選択肢無し,ファン数が120,000以上で固有スキルLv↑（ハルウララ、スマートファルコンは80,000以上）
31,11,クリスマス,2,,1,,選択肢無し,（上記条件に未達の場合）スキルｐｔ＋２０
32,12,駿川たづな イベント選択肢,1,ランダムイベント,1,選んだ生き方,理事長室までひとっ走りしますよ！,体力＋１５，やる気↑
33,12,駿川たづな イベント選択肢,2,ランダムイベント,2,選んだ生き方,書類作成、お手伝いしますよ,やる気↑、賢さ＋６
34,12,駿川たづな イベント選択肢,1,情熱のふたり,1,,お話もっと聞きたいです！,体力＋１４、 やる気↑、賢さ＋６
35,12,駿川たづな イベント選択肢,2,情熱のふたり,2,,では、仕事があるのでそろそろ,やる気↓、展開窺い
36,12,駿川たづな イベント選択肢,1,おでかけ,1,（１回目）牛乳ときどきリンゴ,選択肢なし,体力+３５、やる気↑、スピード+６
37,12,駿川たづな イベント選択肢,2,おでかけ,2,（２回目）驚異の逃げ脚？,選択肢なし,体力+３５、状態異常回復
38,12,駿川たづな イベント選択肢,3,おでかけ,3,（３回目）キネマの思ひ出,『200億円の女～キケンな専業主婦～』,体力＋35、やる気↑、スタミナ＋６
39,12,駿川たづな イベント選択肢,4,おでかけ,3,（３回目）キネマの思ひ出,『白球ひと筋、空へーー熱血野球部物語』,やる気↑、スタミナ＋１２，根性＋１２
